FILEID,STUSAB,GEOCODE,COUNTY,TRACT,BLKGRP,BLOCK,AREALAND,NAME,INTPTLAT,INTPTLON,P0010001,P0020001,P0030001,P0050001,P0050003,P0050004,State,Proposed 2022_SD,County,Tract,BlockGroup,Block,Adj_Population,dif_pop,adjpop
PLST,DE,100010401004015,1,40100,4,4015,977221,Block 4015,39.2592388,-75.6644478,8,8,5,0,0,0,10,15,10001,10001040100,100010401004,100010401004015,8,0,8
PLST,DE,100010401004016,1,40100,4,4016,261718,Block 4016,39.2705859,-75.6593602,113,113,79,0,0,0,10,15,10001,10001040100,100010401004,100010401004016,113,0,113
PLST,DE,100010401004017,1,40100,4,4017,58066,Block 4017,39.2681121,-75.6580877,79,79,49,0,0,0,10,15,10001,10001040100,100010401004,100010401004017,79,0,79
PLST,DE,100010401004018,1,40100,4,4018,63835,Block 4018,39.2688634,-75.6591468,94,94,66,0,0,0,10,15,10001,10001040100,100010401004,100010401004018,94,0,94
PLST,DE,100010401004019,1,40100,4,4019,1630444,Block 4019,39.2582971,-75.6543154,44,44,30,0,0,0,10,15,10001,10001040100,100010401004,100010401004019,44,0,44
PLST,DE,100010401004020,1,40100,4,4020,2510254,Block 4020,39.2485286,-75.6543491,42,42,38,0,0,0,10,15,10001,10001040100,100010401004,100010401004020,42,0,42
PLST,DE,100010401004021,1,40100,4,4021,962922,Block 4021,39.2429361,-75.6429444,188,188,154,0,0,0,10,15,10001,10001040100,100010401004,100010401004021,188,0,188
PLST,DE,100010401004022,1,40100,4,4022,30816,Block 4022,39.2438933,-75.6389066,0,0,0,0,0,0,10,15,10001,10001040100,100010401004,100010401004022,0,0,0
PLST,DE,100010401004023,1,40100,4,4023,53933,Block 4023,39.2397024,-75.6390577,66,66,49,0,0,0,10,15,10001,10001040100,100010401004,100010401004023,66,0,66
PLST,DE,100010401004024,1,40100,4,4024,44202,Block 4024,39.2406048,-75.6415953,47,47,36,0,0,0,10,15,10001,10001040100,100010401004,100010401004024,47,0,47
PLST,DE,100010401004025,1,40100,4,4025,72703,Block 4025,39.2384725,-75.6389735,73,73,38,0,0,0,10,15,10001,10001040100,100010401004,100010401004025,73,0,73
PLST,DE,100010402011000,1,40201,1,1000,79215,Block 1000,39.3088299,-75.6189933,13,13,11,0,0,0,10,14,10001,10001040201,100010402011,100010402011000,13,0,13
PLST,DE,100010402011001,1,40201,1,1001,56532,Block 1001,39.3070272,-75.6220772,8,8,8,0,0,0,10,14,10001,10001040201,100010402011,100010402011001,8,0,8
PLST,DE,100010402011002,1,40201,1,1002,0,Block 1002,39.305725,-75.6245733,0,0,0,0,0,0,10,14,10001,10001040201,100010402011,100010402011002,0,0,0
PLST,DE,100010402011003,1,40201,1,1003,9553,Block 1003,39.3072235,-75.6195211,11,11,10,0,0,0,10,14,10001,10001040201,100010402011,100010402011003,11,0,11
